timestep,target,baseline_mean,baseline_std,conditioned_mean,conditioned_std
0,-0.3,-0.123307206,0.4467333,0.009835067,0.46828607
1,-0.3,-0.121674284,0.43991852,0.008494841,0.4607213
2,-0.3,-0.12168567,0.4333277,0.00671895,0.45352098
3,-0.3,-0.11888991,0.425046,0.0041413503,0.44665235
4,-0.3,-0.12067711,0.4199297,0.0033644452,0.4401121
5,-0.3,-0.12129124,0.4177364,0.0016230211,0.43436027
6,-0.3,-0.12079139,0.41727313,0.0004850164,0.43031883
7,-0.3,-0.12046027,0.41738078,-6.710589e-05,0.42727327
8,-0.3,-0.11791339,0.41618416,-5.4562093e-05,0.424687
9,-0.3,-0.11865403,0.4159223,0.00057182164,0.42364052
10,-0.3,-0.118355945,0.4160267,0.00056590437,0.4236258
11,-0.3,-0.11836021,0.41618675,0.00055999757,0.42361134
12,-0.3,-0.11799836,0.4151763,0.0013436839,0.42321014
13,-0.3,-0.11698818,0.41503224,4.93139e-05,0.42198563
14,-0.3,-0.11642448,0.41576275,-0.0017153792,0.41981736
15,-0.3,-0.11523795,0.41616824,-0.0019494377,0.4181391
16,-0.3,-0.11357026,0.4159618,-0.0018804803,0.41673872
17,-0.3,-0.10992508,0.41280442,-0.0017328315,0.4165065
18,-0.3,-0.11049162,0.41237524,-0.0017062321,0.41720605
19,-0.3,-0.109280184,0.41211978,-0.002272758,0.41485682
20,-0.3,-0.10858476,0.40948558,-0.0043072277,0.41177493
21,-0.3,-0.110471204,0.41086876,-0.0018255152,0.4097788
22,-0.3,-0.11047037,0.4088858,-0.0022993213,0.41118106
23,-0.3,-0.10723116,0.4084647,-0.002393882,0.40944612
24,-0.3,-0.10740385,0.40690395,-0.0010251775,0.40779984
25,-0.3,-0.10856199,0.40785545,-0.0018096134,0.4072361
26,-0.3,-0.11138503,0.41037717,-0.0057066665,0.40434942
27,-0.3,-0.10911546,0.40998238,-0.0059886584,0.40549326
28,-0.3,-0.1085877,0.40903702,-0.010584782,0.4021313
29,-0.3,-0.10742952,0.4080008,-0.010997099,0.40109673
30,-0.3,-0.10391752,0.40504906,-0.013928388,0.4010951
31,-0.3,-0.1031162,0.40313533,-0.016202819,0.3979704
32,-0.3,-0.10557322,0.40087414,-0.017749973,0.3962327
33,-0.3,-0.10417998,0.4034509,-0.015113269,0.39082414
34,-0.3,-0.10417297,0.40351263,-0.016903136,0.3836861
35,-0.3,-0.10601449,0.39857745,-0.020774776,0.3792113
36,-0.3,-0.10447385,0.3998495,-0.022167724,0.3779534
37,-0.3,-0.10341306,0.39562422,-0.026233513,0.37483802
38,-0.3,-0.10487034,0.3962745,-0.027164731,0.37210676
39,-0.3,-0.101871684,0.39358112,-0.027114853,0.36946726
40,-0.3,-0.1001855,0.38910037,-0.026510919,0.3673946
41,-0.3,-0.09865094,0.38688746,-0.02735731,0.36085838
42,-0.3,-0.094796315,0.38575336,-0.02941515,0.35540462
43,-0.3,-0.094994195,0.3796745,-0.029497722,0.3548468
44,-0.3,-0.096757784,0.37375787,-0.031763125,0.3508446
45,-0.3,-0.09755851,0.37050453,-0.032478783,0.34546438
46,-0.3,-0.09944579,0.36944333,-0.0363733,0.3375478
47,-0.3,-0.09974459,0.3649914,-0.037274487,0.33133814
48,-0.3,-0.09862516,0.36359456,-0.03703777,0.32540295
49,-0.3,-0.09997921,0.35928482,-0.03665485,0.3212536
50,-0.3,-0.10023091,0.35140523,-0.039008822,0.31568643
51,-0.3,-0.09650572,0.3476967,-0.039789185,0.30771452
52,-0.3,-0.094049774,0.34738383,-0.035118878,0.30482614
53,-0.3,-0.09267829,0.33999944,-0.032638293,0.29508
54,-0.3,-0.08986703,0.33674842,-0.030713696,0.2915117
55,-0.3,-0.08711074,0.33213255,-0.030559033,0.28694057
56,-0.3,-0.088288866,0.32742107,-0.030617412,0.28042686
57,-0.3,-0.08763957,0.32454538,-0.031202585,0.27541962
58,-0.3,-0.085615136,0.3229181,-0.030537212,0.26760018
59,-0.3,-0.08620312,0.3192329,-0.030822853,0.2627281
60,-0.3,-0.0861487,0.31279024,-0.031777933,0.2551831
61,-0.3,-0.08535612,0.31095496,-0.029620072,0.25038075
62,-0.3,-0.08465749,0.3072666,-0.031053836,0.24806292
63,-0.3,-0.08362981,0.30460897,-0.0316486,0.24176662
64,-0.3,-0.083299555,0.29777893,-0.03186869,0.23738407
65,-0.3,-0.08362025,0.29510444,-0.034446176,0.2298985
66,-0.3,-0.08308382,0.29322156,-0.031531442,0.22681428
67,-0.3,-0.08284342,0.28844807,-0.030529175,0.22212808
68,-0.3,-0.08014436,0.28623286,-0.03213661,0.21681316
69,-0.3,-0.077993296,0.28309295,-0.03275024,0.20990986
70,-0.3,-0.08166061,0.27742794,-0.033917844,0.20180239
71,-0.3,-0.07918557,0.27742517,-0.035909496,0.19578584
72,-0.3,-0.07907188,0.27412885,-0.036626488,0.19078851
73,-0.3,-0.08032695,0.2676769,-0.036337223,0.18484065
74,-0.3,-0.08073163,0.26153845,-0.03890296,0.18072094
75,-0.3,-0.08131279,0.25509608,-0.040540252,0.17359923
76,-0.3,-0.080169454,0.2476637,-0.04352989,0.16842689
77,-0.3,-0.08072151,0.24243267,-0.041878678,0.16331606
78,-0.3,-0.08062522,0.23940215,-0.04053404,0.15901904
79,-0.3,-0.07791048,0.23639922,-0.0405262,0.15763117
80,-0.3,-0.07587866,0.23352166,-0.043156415,0.15315586
81,-0.3,-0.07367925,0.23013929,-0.04501675,0.15015422
82,-0.3,-0.0725916,0.22644879,-0.04519347,0.14645126
83,-0.3,-0.07491326,0.22628875,-0.049954522,0.14275698
84,-0.3,-0.074399866,0.21944758,-0.045811735,0.142935
85,-0.3,-0.0742082,0.2180814,-0.04649289,0.1399657
86,-0.3,-0.07643449,0.21243732,-0.048645128,0.13313277
87,-0.3,-0.07911418,0.20712994,-0.049700104,0.12570235
88,-0.3,-0.07479298,0.20235717,-0.052452445,0.118556924
89,-0.3,-0.07374424,0.19969164,-0.053053398,0.11276137
90,-0.3,-0.07283174,0.19729455,-0.05260883,0.10752579
91,-0.3,-0.0700045,0.19149047,-0.054182183,0.10266094
92,-0.3,-0.06900331,0.18660109,-0.057649177,0.101276696
93,-0.3,-0.06481258,0.18358098,-0.05841341,0.09867907
94,-0.3,-0.0653577,0.17845076,-0.061606795,0.09271061
95,-0.3,-0.064896084,0.17328604,-0.063305706,0.089506455
96,-0.3,-0.06676991,0.1743563,-0.06097396,0.089625105
97,-0.3,-0.06806499,0.16942863,-0.059683364,0.08606878
98,-0.3,-0.0673346,0.16830312,-0.062146593,0.08784452
99,-0.3,-0.06634453,0.16534053,-0.06320872,0.08665818
100,-0.3,-0.06478941,0.16292162,-0.06428005,0.08771767
101,-0.3,-0.06262078,0.15627722,-0.06778333,0.08571941
102,-0.3,-0.06110861,0.15260783,-0.07190804,0.084011465
103,-0.3,-0.059708297,0.15089798,-0.07375886,0.08288097
104,-0.3,-0.06265867,0.14738809,-0.073103614,0.08065375
105,-0.3,-0.064894,0.14306542,-0.07267484,0.08074611
106,-0.3,-0.06452846,0.13735498,-0.07336725,0.07699737
107,-0.3,-0.06145656,0.13529731,-0.07180646,0.07725651
108,-0.3,-0.061097763,0.13353151,-0.068807624,0.07745044
109,-0.3,-0.05918013,0.13422434,-0.06905574,0.073973775
110,-0.3,-0.057290234,0.13335904,-0.06722965,0.0699551
111,-0.3,-0.05586476,0.13110468,-0.071678,0.07033779
112,-0.3,-0.05203057,0.12625805,-0.073040135,0.066617
113,-0.3,-0.05418992,0.12303762,-0.07596356,0.063464664
114,-0.3,-0.056316696,0.124235764,-0.072388545,0.060756586
115,-0.3,-0.05646544,0.121982425,-0.07263364,0.05700252
116,-0.3,-0.05659526,0.12262342,-0.07243027,0.06101114
117,-0.3,-0.05476748,0.12127649,-0.07010335,0.06160964
118,-0.3,-0.054656483,0.11827005,-0.07101814,0.064184435
119,-0.3,-0.05413104,0.11355724,-0.07336864,0.059365828
120,-0.3,-0.05197687,0.10974884,-0.069197334,0.059515152
121,-0.3,-0.052544285,0.10199785,-0.06614803,0.058049463
122,-0.3,-0.054566205,0.10163483,-0.06797618,0.060859498
123,-0.3,-0.057854164,0.10306531,-0.067366585,0.062160723
124,-0.3,-0.056657337,0.10095052,-0.067651875,0.061685566
125,-0.3,-0.05628407,0.09860442,-0.068726614,0.06053154
126,-0.3,-0.053941704,0.097054966,-0.06971254,0.060108528
127,-0.3,-0.05421908,0.096388884,-0.069891945,0.05920119
128,-0.3,-0.054322056,0.09198613,-0.07145895,0.058633924
129,-0.3,-0.051662184,0.09093798,-0.06965615,0.058612384
130,-0.3,-0.051786356,0.09071384,-0.06656056,0.061395176
131,-0.3,-0.055508602,0.08783506,-0.06549047,0.06271533
132,-0.3,-0.05372239,0.08626579,-0.06313902,0.062447313
133,-0.3,-0.05102381,0.08460117,-0.061210144,0.059755825
134,-0.3,-0.04607398,0.083857514,-0.061165024,0.059756637
135,-0.3,-0.045740444,0.08463278,-0.06291397,0.061792806
136,-0.3,-0.047757305,0.08206876,-0.06330886,0.060141753
137,-0.3,-0.04760621,0.08141582,-0.06340142,0.057315897
138,-0.3,-0.045543715,0.08206547,-0.060182255,0.058292095
139,-0.3,-0.04691308,0.08163802,-0.06395846,0.058063578
140,-0.3,-0.048551615,0.081202015,-0.063472964,0.05716421
141,-0.3,-0.04765154,0.07924168,-0.06410037,0.05773694
142,-0.3,-0.048373472,0.079823665,-0.061168622,0.05796063
143,-0.3,-0.044580605,0.07990443,-0.06513066,0.055068597
144,-0.3,-0.046902783,0.0801103,-0.06514601,0.051268306
145,-0.3,-0.04813514,0.08098495,-0.06736818,0.050374284
146,-0.3,-0.0480485,0.07715284,-0.06807245,0.052125297
147,-0.3,-0.049508415,0.074795865,-0.07135868,0.052066695
148,-0.3,-0.04612031,0.07568454,-0.07290552,0.05304273
149,-0.3,-0.04643018,0.078739636,-0.072733246,0.050746337
150,0.5,-0.049643435,0.079142384,-0.07293197,0.0527698
151,0.5,-0.049276434,0.07951617,-0.077615395,0.05449715
152,0.5,-0.047260933,0.079032615,-0.07880036,0.052494355
153,0.5,-0.045812376,0.07706503,-0.07808894,0.05166293
154,0.5,-0.04486466,0.07282333,-0.06609194,0.05499927
155,0.5,-0.04856408,0.072252624,-0.07355829,0.058415763
156,0.5,-0.048255738,0.07011883,-0.07489858,0.058276378
157,0.5,-0.04907396,0.06719901,-0.07635635,0.057896595
158,0.5,-0.048414532,0.06457787,-0.07889655,0.06085338
159,0.5,-0.045583308,0.06239936,-0.08045488,0.059524596
160,0.5,-0.042014632,0.065696545,-0.08009084,0.06227517
161,0.5,-0.04152321,0.064335905,-0.07907079,0.06401757
162,0.5,-0.038549405,0.06391638,-0.07880529,0.06464256
163,0.5,-0.036186974,0.06564612,-0.07884513,0.06517135
164,0.5,-0.035833746,0.062519915,-0.07658945,0.06507831
165,0.5,-0.03134187,0.06120344,-0.07578465,0.06499932
166,0.5,-0.031642836,0.060858667,-0.07708531,0.06673385
167,0.5,-0.032649346,0.05638045,-0.07503419,0.07011135
168,0.5,-0.031016663,0.05243895,-0.07514866,0.07266152
169,0.5,-0.03144123,0.054800224,-0.07532572,0.07076414
170,0.5,-0.032819897,0.052013688,-0.075225964,0.071988225
171,0.5,-0.03340516,0.05070592,-0.07259334,0.07116536
172,0.5,-0.03276848,0.051239002,-0.07085674,0.071073405
173,0.5,-0.0320189,0.050697144,-0.069767624,0.072709665
174,0.5,-0.030075867,0.050603718,-0.06887523,0.07165056
175,0.5,-0.029741531,0.050881986,-0.06714486,0.0716745
176,0.5,-0.030244503,0.0503852,-0.063854806,0.07252411
177,0.5,-0.024311896,0.05006327,-0.06155066,0.07679241
178,0.5,-0.026170116,0.049917046,-0.058979467,0.07648901
179,0.5,-0.02432799,0.047222905,-0.05458665,0.07427213
180,0.5,-0.02236701,0.043562736,-0.059366312,0.0736972
181,0.5,-0.024354585,0.041288946,-0.06016569,0.07222725
182,0.5,-0.024109457,0.042446364,-0.060739048,0.070250474
183,0.5,-0.022939084,0.044102717,-0.058467124,0.069520496
184,0.5,-0.022286931,0.046449214,-0.05526183,0.06859805
185,0.5,-0.021595517,0.04623521,-0.05732374,0.06798835
186,0.5,-0.023635466,0.047070213,-0.056265634,0.06383059
187,0.5,-0.022353105,0.049017414,-0.049258143,0.06362784
188,0.5,-0.024045382,0.048583828,-0.04835631,0.062396873
189,0.5,-0.022451054,0.046948615,-0.04919525,0.060433023
190,0.5,-0.024205418,0.049004696,-0.049062308,0.057692375
191,0.5,-0.02945416,0.04578262,-0.04732846,0.059719387
